server_time,time,temp,temp_rate,cell1,cell2,cell3,pack_voltage,cell_avg,current,voltage_rate,voltage_drop_rate,voltage_sag,internal_resistance,temp_score,temp_rate_score,voltage_score,voltage_rate_score,resistance_score,current_score,eri_raw_sum,eri,eri_percent,primary_cause,primary_score,secondary_cause,secondary_score,status_trigger,cause_detail,cause_list,status,message
2026-05-15 13:04:51,670.5,21.23,-0.004,0.0,0.0,0.0,11.443,3.814,0.013,-0.0025,0.0025,0.0129,0.0,13.6,0.0,25.7,2.5,0.0,0.3,42.1,70.2,7.0,전압 위험,25.7,온도 위험,13.6,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:04:52,675.0,21.12,-0.024,0.0,0.0,0.0,11.556,3.852,0.0,0.0249,0.0,0.0,0.0,12.4,0.0,23.2,0.0,0.0,0.0,35.6,59.4,5.9,전압 위험,23.2,온도 위험,12.4,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:04:53,676.0,21.14,0.021,0.0,0.0,0.0,11.617,3.872,0.007,0.06,0.0,0.0,0.0,12.7,1.1,21.8,0.0,0.0,0.2,35.7,59.5,6.0,전압 위험,21.8,온도 위험,12.7,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:04:54,677.2,20.97,-0.14,0.0,0.0,0.0,11.533,3.844,0.013,-0.0681,0.0681,0.0838,0.0,10.7,0.0,23.7,68.1,0.0,0.3,102.8,171.4,17.1,전압 급락,68.1,전압 위험,23.7,전압 하강속도 주의,전압 하강속도 주의 조건으로 상태가 변경되었습니다. 주요 기여 항목은 전압 급락 68.1점입니다.,"{'key': 'voltage_rate', 'name': '전압 급락', 'score': 68.1, 'description': '전압이 짧은 시간에 빠르게 감소'}",WARN,Voltage drop warning
2026-05-15 13:04:56,678.7,20.99,0.015,0.0,0.0,0.0,11.463,3.821,0.0,-0.0494,0.0494,0.0709,0.0,11.0,0.8,25.3,49.4,0.0,0.0,86.4,144.0,14.4,전압 급락,49.4,전압 위험,25.3,전압 하강속도 주의,전압 하강속도 주의 조건으로 상태가 변경되었습니다. 주요 기여 항목은 전압 급락 49.4점입니다.,,WARN,Voltage drop warning
2026-05-15 13:04:56,679.8,21.12,0.12,0.0,0.0,0.0,11.437,3.812,0.02,-0.0239,0.0239,0.0258,0.0,12.4,6.0,25.8,23.9,0.0,0.5,68.7,114.5,11.5,전압 위험,25.8,전압 급락,23.9,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:04:58,680.8,21.18,0.065,0.0,0.0,0.0,11.44,3.813,0.026,0.0032,0.0,0.0,0.0,13.1,3.2,25.8,0.0,0.0,0.7,42.8,71.3,7.1,전압 위험,25.8,온도 위험,13.1,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:04:59,682.2,21.14,-0.031,0.0,0.0,0.0,11.456,3.819,0.007,0.0115,0.0,0.0,0.0,12.7,0.0,25.4,0.0,0.0,0.2,38.2,63.7,6.4,전압 위험,25.4,온도 위험,12.7,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:05:00,683.2,21.07,-0.065,0.0,0.0,0.0,11.443,3.814,0.013,-0.0129,0.0129,0.0129,0.0,11.9,0.0,25.7,12.9,0.0,0.3,50.9,84.8,8.5,전압 위험,25.7,전압 급락,12.9,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
2026-05-15 13:05:01,684.2,21.12,0.041,0.0,0.0,0.0,11.434,3.811,0.0,-0.0092,0.0092,0.0097,0.0,12.4,2.1,25.9,9.2,0.0,0.0,49.6,82.6,8.3,전압 위험,25.9,온도 위험,12.4,Normal,모든 위험 점수가 정상 범위입니다.,,NORMAL,Normal
